hub_id,city,state,betweenness,in_degree,out_degree,degree,clustering,pagerank,closeness,avg_outgoing_delay,avg_incoming_delay,total_volume,norm_betweenness,norm_delay,norm_volume,norm_in_degree,norm_pagerank,bottleneck_score
IND000000ACB,Gurgaon_Bilaspur_HB,Haryana,0.22115770392749245,45,49,94,0.03715846994535519,0.009685904681080966,0.18396287608023204,1.5998067166843744,1.5391682267307802,38539,1.0,0.09375158886723321,1.0,1.0,1.0,0.7734378972168082
IND562132AAA,Bangalore_Nelmngla_H,Karnataka,0.14617634059660106,36,35,71,0.05357142857142857,0.008592905456689781,0.17149869407663337,1.5438638573599275,1.5546729727115862,20994,0.6609597495392954,0.08771623638579687,0.5447350666874254,0.8,0.8857507134691872,0.5307870561196064
IND501359AAE,Hyderabad_Shamshbd_H,Telangana,0.06810357875872591,30,27,57,0.042682926829268296,0.008056159833843224,0.16671250591865636,1.8117299628685004,1.7859506634345945,8482,0.3079412453163014,0.1166147657798312,0.22006850381441695,0.6666666666666666,0.8296456375548713,0.33057805849070043
IND421302AAG,Bhiwandi_Mankoli_HB,Maharashtra,0.05418247734138973,29,29,58,0.06156156156156156,0.005856073455374698,0.16704816868225097,2.0214595900647288,2.010238772646855,14580,0.24499475432767967,0.1392412857899789,0.37830193575172555,0.6444444444444445,0.5996744779813605,0.3206307648551083
IND712311AAA,Kolkata_Dankuni_HB,West Bengal,0.0747262839879154,24,22,46,0.0392156862745098,0.006695981552959199,0.16848044088665656,2.239439766772303,3.535980814359847,7504,0.33788686833362475,0.16275791000766673,0.19469095438268721,0.5333333333333333,0.6874685941701729,0.3199682650455734
IND160002AAC,Chandigarh_Mehmdpur_H,Punjab,0.05779335347432025,32,29,61,0.03433001107419712,0.008346763302292497,0.15354828583377786,1.594067362534693,1.8489499615909384,5324,0.2613219094247246,0.0931324030457108,0.1381234106596087,0.7111111111111111,0.8600219069911123,0.2994837530022254
IND482002AAA,Jabalpur,Madhya Pradesh,0.0,1,1,2,0.0,0.001259574766127633,0.10947153115520625,10.0,10.0,8,0.0,1.0,0.00018163890186309616,0.022222222222222223,0.1192105544330098,0.2641796054458958
IND844505AAB,HazratJandaha_HajiprRD_D,Bihar,0.0,1,1,2,1.0,0.0010814720017853917,0.10205074675545467,10.0,3.0,43,0.0,1.0,0.001089833411178577,0.022222222222222223,0.10059378572798103,0.26249956747725606
IND847223AAA,Benipatti_WardNo1_D,Bihar,0.0013329305135951661,1,1,2,1.0,0.0007420253294209608,0.10209260514214683,9.953846153846154,2.425,27,0.006027058926385731,0.9950207276982942,0.0006746587783486429,0.022222222222222223,0.06511202209315631,0.2597330087360162
IND424201AAA,Pachora_PcrrdDPP_D,Maharashtra,0.002712990936555891,1,1,2,0.0,0.0003570222413711178,0.0015778401122019635,10.0,1.2727272727272727,5,0.012267223290785102,1.0,0.00010379365820748353,0.022222222222222223,0.02486832645251649,0.25902334175089015
IND151103AAA,RampuraPhul_DC,Punjab,0.0,1,1,2,0.0,0.0007614203574195637,0.10569077339131804,10.0,1.5,11,0.0,1.0,0.00025948414551870883,0.022222222222222223,0.0671393502573824,0.2589880540770642
IND743270AAA,Helencha_ColnyDPP_D,West Bengal,0.0013353474320241692,1,1,2,1.0,0.00046463321581881377,0.11225275315839775,10.0,2.1,11,0.006037987410386431,1.0,0.00025948414551870883,0.022222222222222223,0.03611671234261899,0.25799908587922316
IND395001AAA,Surat_Central_D_9,Gujarat,0.0,1,1,2,0.0,0.0005389792723568071,0.001932367149758454,10.0,2.435897435897436,30,0.0,1.0,0.0007525040220042555,0.022222222222222223,0.04388797487080282,0.2567615205137034
IND121002AAA,Faridabad_Old,Haryana,0.0,1,1,2,0.0,0.0005171278415565668,0.12108080330949599,10.0,2.909090909090909,3,0.0,1.0,5.189682910374176e-05,0.022222222222222223,0.04160388324210521,0.2563929899122535
IND208012AAA,Kanpur_Central_D_7,Uttar Pradesh,0.0,1,1,2,0.0,0.0004486957941116155,0.12387281254307596,10.0,2.0,75,0.0,1.0,0.0019201826768384452,0.022222222222222223,0.034450801682707664,0.2560513389258607
IND493445AAB,Mahasamund_RajpurRD_D,Chhattisgarh,1.2084592145015106e-06,1,1,2,0.0,0.00030644697261524213,0.0008051529790660224,10.0,1.5653409090909092,67,5.464242000349712e-06,1.0,0.001712595360423478,0.022222222222222223,0.0195817825625321,0.2545248320352603
IND785634AAA,Mariani_Mainroad_D,Assam,0.0,1,1,2,1.0,0.00024810592402522405,0.08916949056719152,10.0,2.375,9,0.0,1.0,0.00020758731641496705,0.022222222222222223,0.013483495365135623,0.25361208922201883
IND741201AAC,Ranaghat_ArickDPP_D,West Bengal,0.0,1,1,2,0.0,0.00022036610271954817,0.0006038647342995169,10.0,2.789473684210526,5,0.0,1.0,0.00010379365820748353,0.022222222222222223,0.010583900633555623,0.2533013710172193
IND722151AAA,Simlapal_Central_D_1,West Bengal,0.0,1,1,2,1.0,0.0001626603441728949,0.07521963473452824,10.0,0.9523809523809523,28,0.0,1.0,0.0007006071929005138,0.022222222222222223,0.004552019187027805,0.25281754557950514
IND395006AAA,Surat_Varachha_DC,Gujarat,0.0,1,1,2,0.0,0.00045058618783548924,0.001932367149758454,9.866666666666667,1.9230769230769231,57,0.0,0.9856154355728497,0.0014531112149047693,0.022222222222222223,0.03464840121379169,0.25238154347979475
IND411033AAA,Pune_Tathawde_H,Maharashtra,0.04476495468277946,23,20,43,0.06157635467980296,0.005929605542619045,0.16179963467164934,1.7466704384166953,1.7897407738539954,7756,0.20241191641895437,0.10959586887175556,0.20122995484975867,0.5111111111111111,0.6073606577309094,0.2503363058187267
IND395009AAA,Surat_Central_D_12,Gujarat,0.0,1,1,2,0.0,0.0005931200366261142,0.001932367149758454,9.5,2.75,29,0.0,0.9460578833981863,0.0007265556074523847,0.022222222222222223,0.04954721373572213,0.24383672556683147
IND400072AAJ,Mumbai_Tejpal_I,Maharashtra,0.00038990367441832304,2,1,3,0.0,0.0014698224440655877,0.13420374638373267,9.0,2.8205128205128203,126,0.0017630119480086242,0.8921157667963727,0.0032435518189838602,0.044444444444444446,0.141187374418908,0.2428578881310282
IND131028AAB,Sonipat_Kundli_H,Haryana,0.05346827794561934,20,20,40,0.03870967741935484,0.005333233113098824,0.1560512672956451,2.0339267893651316,1.863373638980836,4478,0.241765387305473,0.14058630002669967,0.11617105194872593,0.4444444444444444,0.5450228965881375,0.24194540505659387
IND400072AAI,Mumbai_Chndivli_D,Maharashtra,0.0,0,1,1,0.0,0.00011911212088054774,0.0,9.416666666666666,1.0,1,0.0,0.9370675306312174,0.0,0.0,0.0,0.23426688265780435
IND110037AAM,Delhi_Airport_H,Delhi,0.04245227615351549,21,24,45,0.07056451612903226,0.004783251482299427,0.1546293878669832,2.058153995885388,2.1575050660904598,5782,0.19195476982992035,0.14320003362480344,0.15000778452436556,0.4666666666666667,0.4875342840423382,0.2284058298224466
IND501401AAC,Medchal_MROoffce_D,Telangana,0.0,3,1,4,0.3333333333333333,0.0009881065637466007,0.11158178631345814,7.875,2.801388888888889,58,0.0,0.7707460044422919,0.0014790596294566403,0.06666666666666667,0.0908344607032901,0.20873242577345996
IND208017AAA,Kanpur_Central_D_5,Uttar Pradesh,0.0,0,1,1,0.0,0.00011911212088054774,0.0,8.411764705882353,1.0,13,0.0,0.8286544531471802,0.00031138097462245055,0.0,0.0,0.20722588948171955
